endpoint,endpoint_label,model,subgroup_variable,subgroup,n,events,prevalence,auroc,auprc,auprc_over_prevalence,brier,ece_10,top1_event_rate,top1_enrichment_over_prevalence,overall_prevalence,overall_model_auprc
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,race_ethnicity_code,MRACEHISP_Unknown,35805,2079,0.05806451612903226,0.6961825482254824,0.14298436333494155,2.4625084796573264,0.058805736213373705,0.041363165474734384,0.27932960893854747,4.810676598386095,0.04648563283784571,0.1859502818201731
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,diabetes,Any diabetes,355292,22986,0.06469608097001903,0.6938680698459768,0.1744152908267046,2.695917406612787,0.05767291022701591,0.010236209366941104,0.4182381086405854,6.4646591009801995,0.04648563283784571,0.1859502818201731
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,diabetes,No diabetes,3283144,146149,0.044514952740421984,0.708778883568892,0.18813487462783754,4.226329874478354,0.039557001088833296,0.001882506978900702,0.48335414699521795,10.858242393601515,0.04648563283784571,0.1859502818201731
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,hypertensive_disorder,Any hypertensive disorder,505310,47449,0.09390077378243059,0.6481734209320364,0.21616549937772905,2.3020630253653454,0.08099007972331035,0.011379595560318746,0.6204235107856719,6.607224688299182,0.04648563283784571,0.1859502818201731
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,hypertensive_disorder,No hypertensive disorder,3133126,121686,0.03883852740043011,0.6876768548655071,0.1721103299508723,4.431432947402797,0.03492899973323368,0.0018829589818842103,0.46659857648973857,12.01380710651175,0.04648563283784571,0.1859502818201731
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,infertility_art,Infertility/ART,91341,7286,0.07976702685540994,0.6953337637100317,0.2562833996743566,3.2128989856787546,0.06710240308401155,0.00921037730460949,0.7447973713033954,9.337158480952985,0.04648563283784571,0.1859502818201731
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,infertility_art,No infertility/ART,3547095,161849,0.045628605943737056,0.7082677552205585,0.18272347117626542,4.00458149875486,0.04066224722007071,0.0019707687079241706,0.4655352259592343,10.202705437314227,0.04648563283784571,0.1859502818201731
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,plurality,Multiple,112066,21556,0.1923509360555387,0.6573296637706222,0.3991806487079894,2.075272711918238,0.1485766958028588,0.08882659347573318,0.9090098126672613,4.725788349710953,0.04648563283784571,0.1859502818201731
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,plurality,Singleton,3526370,147579,0.041850117826546844,0.6938638176742112,0.15821610487704374,3.7805414439402676,0.03791764857667525,0.003935996752038338,0.40851860254083483,9.761468396194063,0.04648563283784571,0.1859502818201731
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,prior_cesarean,No prior cesarean,3078044,136849,0.04445972832097267,0.7085526935680667,0.18420450332868143,4.14317653942541,0.039592093100705404,0.0019962469659217433,0.4750487329434698,10.68492208305687,0.04648563283784571,0.1859502818201731
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,prior_cesarean,Prior cesarean,560392,32286,0.05761324215906009,0.7049661489024439,0.19321657654088653,3.353683446723053,0.05084985115259638,0.0030174827354657843,0.4753747323340471,8.251136622751078,0.04648563283784571,0.1859502818201731
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,prior_preterm,No prior preterm,3493369,154411,0.04420117084682437,0.7028587358431253,0.17385096334023423,3.933175524754782,0.03962320514091808,0.0022409022155388332,0.4480448846396061,10.136493582766617,0.04648563283784571,0.1859502818201731
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,prior_preterm,Prior preterm,145067,14724,0.10149792854336272,0.7043268512760649,0.3028456070178742,2.98376145566843,0.08233145983062745,0.011035341135050458,0.80289455547898,7.910452626981065,0.04648563283784571,0.1859502818201731
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,smoking,No smoking,3551780,162092,0.04563683561481849,0.7091238286823953,0.1853461760071728,4.061328387698073,0.040603039681987294,0.0016017059289578292,0.4739850216791486,10.38601855921061,0.04648563283784571,0.1859502818201731
outcome_severe_neonatal_no_nicu,Severe neonatal outcome,SSL + phenotype,smoking,Smoking,86656,7043,0.08127538774002954,0.6660994515391035,0.2238949256958384,2.754769087192755,0.07095861938567,0.02322220421858106,0.5974625144175317,7.351087838898996,0.04648563283784571,0.1859502818201731
